point 148,231667.4422,138.905229,6714251.431,
point 149,231667.6902,138.755985,6714250.003,
point 150,231667.9416,138.661574,6714248.244,
point 151,231668.3334,138.505432,6714246.821,
A16-A,231668.893,138.533029,6714242.496,
A17-A,231668.6391,138.955721,6714245.161,
point 154,231670.8069,139.252161,6714240.347,
point 155,231673.003,140.155882,6714240.991,
point 156,231674.8202,141.43393,6714241.871,
point 157,231676.0715,142.226808,6714242.826,
point 158,231677.7734,143.410188,6714243.941,
point 159,231679.3171,144.502928,6714245.227,
point 160,231680.5848,145.686798,6714246.253,
point 161,231681.8305,146.729453,6714247.513,
point 162,231682.9497,148.13395,6714248.608,
point 163,231670.6008,139.59007,6714242.822,
point 164,231671.9378,140.38374,6714243.6,
point 165,231673.6155,141.816026,6714244.338,
point 166,231674.915,142.513117,6714245.334,
point 167,231676.6632,143.793445,6714246.209,
point 168,231677.4796,144.516327,6714247.261,
point 169,231678.8014,145.145926,6714248.773,
point 170,231679.9169,146.033907,6714249.865,
point 172,231670.9593,140.381917,6714246.177,
point 173,231672.0176,141.055012,6714246.744,
point 174,231673.1104,141.825184,6714247.693,
point 175,231674.4368,142.405694,6714248.577,
point 181,231670.0838,139.764652,6714247.482,
point 182,231671.1258,140.40814,6714248.333,
point 183,231672.0775,141.247951,6714249.133,
point 184,231673.1769,141.987766,6714250.06,
point 190,231669.4217,139.991159,6714250.724,
point 191,231670.6694,140.737974,6714251.177,
point 192,231671.8476,141.561455,6714252.019,
point 193,231672.9679,142.391897,6714252.816,
point 199,231668.5464,139.436062,6714251.863,
point 200,231669.9178,140.080413,6714252.627,
point 201,231671.3067,140.806155,6714253.302,
point 202,231672.3574,142.601885,6714254.145,
point 203,231681.1119,147.546911,6714251.02,
point 204,231680.405,147.722443,6714252.51,
point 205,231679.7568,148.717247,6714253.322,
point 206,231679.0103,148.619717,6714255.202,
point 207,231678.8857,149.384123,6714256.025,
point 208,231678.7911,150.75178,6714257.319,
point 209,231678.7599,151.360132,6714258.402,
point 210,231678.7016,151.624699,6714259.33,
point 211,231678.6411,151.548898,6714260.066,
point 212,231678.5886,151.44774,6714260.512,
point 213,231679.5653,148.62484,6714254.131,
point 214,231679.1675,146.287425,6714251.566,
point 215,231678.5915,146.982118,6714252.684,
point 216,231678.1141,147.075745,6714254.115,
point 217,231677.7964,147.868478,6714254.839,
point 218,231677.6153,148.683324,6714256.038,
point 219,231677.5952,149.53779,6714257.357,
point 220,231677.2023,147.744732,6714258.406,
point 221,231677.3838,148.098299,6714259.464,
point 222,231677.3472,148.055277,6714260.197,
point 223,231677.4452,150.67357,6714260.868,
1DE,231677.5878,139.549334,6714215.09,
F1-A,231696.2717,144.985997,6714218.954,
point 227,231706.4173,150.74635,6714230.466,
point 228,231708.399,151.971832,6714231.49,
point 229,231707.2465,152.209621,6714234.2,
point 230,231704.9605,150.800642,6714233.137,
point 231,231704.2844,150.832466,6714234.34,
point 232,231703.6337,150.884023,6714235.575,
point 233,231705.3428,152.101291,6714236.618,
point 234,231704.6913,152.197262,6714237.89,
point 235,231702.8638,150.929887,6714236.928,
point 236,231702.3672,151.03997,6714238.165,
point 237,231704.201,152.218488,6714238.926,
point 238,231703.4562,152.329385,6714240.579,
point 239,231701.3955,150.968039,6714239.486,
point 240,231708.0269,153.513062,6714237.979,
point 241,231707.2038,153.462015,6714239.245,
point 242,231706.3872,153.525425,6714240.628,
point 243,231705.5343,153.56303,6714241.878,
point 244,231704.6423,153.597663,6714243.138,
point 245,231702.5409,152.294967,6714241.84,
point 246,231700.6217,151.017315,6714240.857,
point 247,231699.9972,151.077629,6714242.051,
point 248,231701.7699,152.378856,6714243.176,
point 249,231704.0172,153.731104,6714244.525,
point 250,231703.4652,153.837487,6714245.914,
point 251,231701.1758,152.458475,6714244.419,
point 252,231699.0631,151.005005,6714243.139,
point 253,231700.0692,152.327706,6714245.675,
point 254,231702.7683,153.81275,6714247.022,
point 255,231704.605,155.378591,6714248.362,
point 256,231703.7945,155.383536,6714249.505,
point 257,231702.98,155.402735,6714250.76,
point 258,231702.1754,153.966429,6714248.401,
point 259,231701.2535,153.895802,6714249.523,
point 260,231701.9556,155.279793,6714251.958,
point 261,231700.9773,155.240125,6714252.928,
point 262,231692.174,151.668199,6714251.908,
point 263,231694.3415,152.988366,6714253.363,
point 264,231695.3284,152.836389,6714252.332,
point 265,231693.8103,151.488372,6714250.793,
point 266,231694.9886,151.456524,6714250.022,
point 267,231696.296,152.539191,6714251.21,
point 268,231695.8577,151.289112,6714248.901,
point 269,231689.3791,150.902824,6714250.508,
point 270,231699.5634,152.376002,6714246.684,
point 271,231697.6054,151.057852,6714245.628,
point 272,231698.3767,151.076265,6714244.397,
point 273,231696.6246,151.201506,6714247.74,
point 274,231697.1434,151.153617,6714246.811,
point 275,231697.8446,149.464655,6714239.144,
point 276,231701.4671,149.170422,6714232.578,
point 277,231698.8834,152.658941,6714248.843,
point 278,231698.6971,149.49886,6714237.85,
point 279,231703.5177,149.246306,6714228.647,
point 280,231704.8027,149.325601,6714226.464,
point 281,231702.9099,149.241406,6714229.856,
point 282,231702.2193,149.273016,6714231.225,
point 283,231705.7004,150.771316,6714231.733,
point 284,231707.7145,152.03454,6714232.848,
point 285,231711.0145,153.50627,6714232.976,
point 286,231710.2151,153.43202,6714234.118,
point 287,231709.5293,153.493812,6714235.51,
point 288,231710.1241,154.422194,6714237.971,
point 289,231709.0559,154.564282,6714240.441,
point 290,231707.5652,154.713445,6714243.145,
point 291,231706.9531,154.878031,6714244.459,
point 292,231706.115,154.994058,6714245.748,
point 293,231705.615,155.381004,6714247.207,
point 294,231699.4113,153.902663,6714251.689,
point 295,231697.1436,149.583897,6714240.494,
point 296,231696.4697,149.621985,6714241.739,
point 297,231694.1844,149.681875,6714245.172,
point 298,231671.7219,142.227106,6714255.982,
point 299,231671.5218,142.199828,6714257.456,
point 300,231672.7432,143.08888,6714256.011,
point 301,231672.6341,143.202996,6714257.547,
point 302,231670.5816,141.385927,6714257.457,
point 303,231670.7989,141.450305,6714255.942,
point 304,231671.1565,141.596333,6714254.437,
point 305,231674.1419,144.671916,6714259.161,
point 306,231674.0193,144.586469,6714257.893,
point 307,231674.2234,144.612267,6714256.236,
point 308,231675.569,143.58922,6714247.945,
point 309,231678.1214,142.9202,6714241.479,
point 310,231679.4632,143.817084,6714242.504,
point 311,231679.6744,146.075678,6714249.571,
point 312,231681.8002,143.698661,6714238.296,
point 313,231684.3076,147.227441,6714245.435,
point 314,231686.6703,148.104003,6714244.731,
point 315,231687.9838,148.297525,6714243.106,
point 316,231684.1812,150.740337,6714251.543,
point 317,231699.6528,149.440146,6714236.121,
point 318,231700.6665,149.356074,6714234.382,
point 319,231707.2029,150.75148,6714229.14,
point 320,231709.2729,151.991561,6714230.074,
point 321,231711.5074,153.347216,6714231.504,
point 322,231698.6106,152.941075,6714250.077,
point 323,231693.1663,149.865814,6714247.066,
point 324,231692.4529,150.049662,6714247.861,
G1-A,231699.4576,146.308046,6714218.435,
point 326,231704.3459,149.354755,6714227.605,
point 327,231693.9779,149.775656,6714245.917,
point 328,231685.4124,147.006758,6714243.766,
point 329,231681.2157,145.056492,6714243.741,
point 330,231665.5278,138.326605,6714261.516,
point 331,231668.6523,139.920994,6714261.815,
point 332,231668.4968,140.093008,6714263.358,
point 333,231668.425,140.204637,6714264.87,
point 334,231668.2691,140.393199,6714266.366,
point 335,231667.7803,139.956493,6714267.617,
point 336,231669.8273,140.812271,6714263.438,
point 337,231670.6811,141.564997,6714263.45,
point 338,231670.3848,141.688371,6714264.969,
point 339,231670.3413,142.016042,6714266.552,
point 340,231669.2719,141.207975,6714266.397,
point 341,231669.5636,140.908609,6714264.967,
point 342,231672.513,143.201089,6714263.557,
point 343,231673.6964,144.293458,6714263.839,
point 344,231675.2495,146.015789,6714264.045,
point 345,231676.3829,150.050794,6714264.47,
point 346,231677.0171,150.120969,6714264.384,
point 347,231676.6721,150.198913,6714266.07,
point 348,231676.1189,148.210086,6714265.975,
point 349,231675.1765,146.548492,6714265.766,
point 350,231674.2135,144.86421,6714265.625,
point 351,231673.5536,144.85375,6714265.502,
point 352,231672.0683,142.728156,6714265.282,
point 353,231671.8011,142.92791,6714266.781,
point 354,231673.3889,144.879023,6714266.914,
point 355,231674.1876,144.92997,6714266.849,
point 356,231675.3053,148.499579,6714267.258,
point 357,231676.092,148.544624,6714267.274,
point 358,231676.6443,150.457542,6714267.264,
point 359,231678.6904,152.35053,6714269.309,
point 360,231676.538,150.656407,6714268.78,
point 361,231675.9571,148.676249,6714268.539,
point 362,231675.0836,147.108313,6714268.494,
point 363,231673.9557,145.414439,6714268.326,
point 364,231673.1262,144.221046,6714268.286,
point 365,231671.5358,143.275864,6714268.158,
point 366,231670.0763,141.416941,6714267.912,
point 367,231668.7014,140.626088,6714267.833,
point 368,231666.0381,138.719025,6714266.068,
point 369,231666.0426,138.851657,6714267.492,
point 370,231665.6157,139.047817,6714269.027,
point 371,231665.2052,139.048398,6714269.899,
point 372,231667.3584,140.354374,6714270.18,
point 373,231667.5387,140.230068,6714269.089,
point 374,231668.6989,140.990929,6714269.089,
point 375,231669.8905,141.807325,6714269.346,
point 376,231669.8948,141.942251,6714270.497,
point 377,231668.3741,141.165085,6714270.394,
point 378,231671.3444,143.42664,6714269.398,
point 379,231671.4062,143.527705,6714270.835,
point 380,231672.7834,144.455856,6714271.066,
point 381,231672.878,144.385347,6714269.658,
point 382,231673.905,145.714698,6714271.083,
point 383,231673.9418,145.589057,6714269.716,
point 384,231674.9686,147.505422,6714271.249,
point 385,231675.0039,147.254275,6714269.8,
point 386,231675.8081,148.899845,6714269.923,
point 387,231676.3745,150.896912,6714270.077,
point 388,231678.3594,152.320664,6714271.429,
point 389,231676.2351,149.11084,6714270.906,
point 390,231678.4497,152.267603,6714273.54,
point 391,231678.4812,152.464966,6714275.437,
point 392,231675.9752,149.94228,6714275.914,
point 393,231676.5715,150.839629,6714274.046,
point 394,231676.2392,149.408421,6714272.285,
point 395,231675.4736,149.391004,6714272.42,
point 396,231675.5747,149.229536,6714273.897,
point 397,231675.2235,148.158635,6714275.508,
point 398,231674.4517,148.095056,6714275.632,
point 399,231674.7182,147.521853,6714273.908,
point 400,231674.7423,147.508605,6714272.644,
point 401,231673.6138,145.912008,6714272.584,
point 402,231672.7285,144.453455,6714272.536,
point 403,231672.6797,144.657082,6714273.642,
point 404,231673.6343,146.058949,6714273.804,
point 405,231673.339,146.594922,6714275.569,
point 406,231672.18,144.299013,6714275.286,
point 407,231671.9512,144.421642,6714276.894,
point 408,231673.0192,145.717931,6714277.213,
point 409,231674.1729,147.041523,6714277.345,
point 410,231674.9021,148.693644,6714277.22,
point 411,231675.6406,150.579533,6714277.509,
point 412,231670.3266,143.571946,6714276.715,
point 413,231668.7205,141.988379,6714276.578,
point 414,231669.0557,141.802567,6714274.97,
point 415,231670.4807,143.27259,6714275.037,
point 416,231670.8754,143.028441,6714273.559,
point 417,231670.957,142.795392,6714272.296,
point 418,231669.5379,141.95272,6714271.89,
point 419,231668.1275,140.46439,6714271.924,
point 420,231667.1915,140.442679,6714271.531,
point 421,231664.9729,138.783758,6714271.394,
point 422,231664.7306,138.878018,6714272.988,
point 423,231666.9133,139.992467,6714273.22,
point 424,231667.8893,140.798723,6714273.304,
point 425,231669.287,142.321314,6714273.442,
point 426,231667.533,140.947392,6714274.767,
point 427,231667.3506,141.212905,6714276.317,
point 428,231666.2337,140.435481,6714276.244,
point 429,231666.5592,140.120992,6714274.682,
point 430,231664.3617,139.07878,6714274.465,
point 431,231664.1494,139.153938,6714275.886,
point 432,231663.8885,138.960254,6714277.491,
point 433,231666.222,140.527642,6714277.724,
point 434,231667.2085,141.309789,6714277.939,
point 435,231668.5257,142.07451,6714278.013,
point 436,231670.0204,143.05329,6714278.166,
point 437,231671.7674,144.810681,6714278.303,
point 438,231672.7757,145.972169,6714278.496,
point 439,231674.0791,147.24882,6714278.524,
point 440,231674.7731,148.945059,6714278.575,
point 441,231675.5008,150.813966,6714278.877,
point 442,231678.243,152.933967,6714279.301,
point 443,231678.4437,152.807994,6714277.248,
